entry_date,exit_date,expiration,net_credit,pnl,return_pct,contracts,win,exit_reason,hold_days
2020-02-10,2020-02-11,2020-03-16,0.26,32.0,61.54,2,1,profit_target,1
2020-04-08,2020-04-14,2020-05-15,0.61,62.0,50.82,2,1,profit_target,3
2020-05-11,2020-06-15,2020-06-15,0.26,52.0,100.0,2,1,expiration,24
2020-07-13,2020-07-14,2020-08-17,1.08,114.0,52.78,2,1,profit_target,1
2020-09-09,2020-09-16,2020-10-16,0.27,28.0,51.85,2,1,profit_target,5
2020-10-12,2020-10-28,2020-11-16,0.33,-288.0,-436.36,2,0,close_stop_loss,12
2020-12-09,2020-12-17,2021-01-15,0.2,20.0,50.0,2,1,profit_target,6
2021-02-08,2021-02-11,2021-03-15,0.23,46.0,100.0,2,1,profit_target,3
2021-03-10,2021-03-15,2021-04-16,0.21,34.0,80.95,2,1,profit_target,3
2021-04-12,2021-04-13,2021-05-17,0.3,38.0,63.33,2,1,profit_target,1
2021-07-12,2021-07-19,2021-08-16,0.21,48.0,114.29,2,1,profit_target,5
2021-09-08,2021-09-15,2021-10-15,0.21,26.0,61.9,2,1,profit_target,5
2021-10-11,2021-10-14,2021-11-15,0.24,30.0,62.5,2,1,profit_target,3
2022-04-11,2022-04-18,2022-05-16,0.81,82.0,50.62,2,1,profit_target,4
2022-06-08,2022-06-14,2022-07-15,0.34,-262.0,-385.29,2,0,close_stop_loss,4
2022-07-11,2022-07-19,2022-08-15,0.3,34.0,56.67,2,1,profit_target,6
2022-08-10,2022-08-15,2022-09-16,0.23,26.0,56.52,2,1,profit_target,3
2022-09-12,2022-09-15,2022-10-17,0.24,-166.0,-345.83,2,0,close_stop_loss,3
2022-11-09,2022-11-10,2022-12-16,0.37,52.0,70.27,2,1,profit_target,1
2022-12-14,2023-01-04,2023-01-20,0.2,26.0,65.0,2,1,profit_target,13
2023-01-11,2023-01-23,2023-02-17,0.21,26.0,61.9,2,1,profit_target,7
2023-02-08,2023-03-02,2023-03-17,0.21,24.0,57.14,2,1,profit_target,15
2023-03-15,2023-03-21,2023-04-21,0.29,42.0,72.41,2,1,profit_target,4
2023-04-12,2023-04-13,2023-05-19,0.23,24.0,52.17,2,1,profit_target,1
2023-05-10,2023-05-18,2023-06-16,0.21,32.0,76.19,2,1,profit_target,6
2023-08-09,2023-08-11,2023-09-15,0.29,84.0,144.83,2,1,profit_target,2
2024-04-10,2024-04-11,2024-05-17,0.26,46.0,88.46,2,1,profit_target,1
2024-08-14,2024-08-15,2024-09-20,0.24,24.0,50.0,2,1,profit_target,1
2024-09-11,2024-09-13,2024-10-18,0.25,26.0,52.0,2,1,profit_target,2
2024-10-09,2024-10-14,2024-11-15,0.38,40.0,52.63,2,1,profit_target,3
2024-11-13,2024-11-25,2024-12-20,0.22,26.0,59.09,2,1,profit_target,8
2025-01-15,2025-01-21,2025-02-21,0.22,26.0,59.09,2,1,profit_target,3
2025-02-12,2025-02-18,2025-03-21,0.24,26.0,54.17,2,1,profit_target,3
2025-04-09,2025-04-10,2025-05-16,0.28,-240.0,-428.57,2,0,close_stop_loss,1
2025-05-14,2025-05-30,2025-06-20,0.31,38.0,61.29,2,1,profit_target,11
2025-06-11,2025-06-24,2025-07-18,0.33,46.0,69.7,2,1,profit_target,8
2025-07-09,2025-07-21,2025-08-15,0.25,28.0,56.0,2,1,profit_target,8
2025-08-13,2025-08-27,2025-09-19,0.21,26.0,61.9,2,1,profit_target,10
2025-09-10,2025-09-12,2025-10-17,0.31,42.0,67.74,2,1,profit_target,2
2025-10-15,2025-11-21,2025-11-21,0.28,56.0,100.0,2,1,expiration,27
2025-11-12,2025-11-26,2025-12-19,0.33,36.0,54.55,2,1,profit_target,10
